date,sex,vaccination_status,entries,sumTotal,pop,inz_entries,inzsumTotal,geoRegion,type,type_variant,vaccine,data_completeness,version,timeframe_all
202111,male,not_vaccinated,89,511,3982034,2.24,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202111,male,unknown,121,942,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202111,unknown,fully_vaccinated,0,0,64,0,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202111,unknown,partially_vaccinated,0,0,67,0,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202111,unknown,not_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202111,unknown,unknown,0,1,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202112,female,fully_vaccinated,2,19,308639,0.65,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202112,female,partially_vaccinated,2,28,192462,1.04,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202112,female,not_vaccinated,97,515,3886287,2.5,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202112,female,unknown,110,920,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202112,male,fully_vaccinated,4,23,232850,1.72,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202112,male,partially_vaccinated,2,33,158766,1.26,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202112,male,not_vaccinated,125,636,3930351,3.18,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202112,male,unknown,126,1068,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202112,unknown,fully_vaccinated,0,0,69,0,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202112,unknown,partially_vaccinated,0,0,75,0,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202112,unknown,not_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202112,unknown,unknown,0,1,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202113,female,fully_vaccinated,4,23,344848,1.16,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202113,female,partially_vaccinated,1,29,215293,0.46,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202113,female,not_vaccinated,92,607,3827247,2.4,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202113,female,unknown,132,1052,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202113,male,fully_vaccinated,10,33,262224,3.81,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202113,male,partially_vaccinated,9,42,178611,5.04,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202113,male,not_vaccinated,142,778,3881132,3.66,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202113,male,unknown,157,1225,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202113,unknown,fully_vaccinated,0,0,74,0,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202113,unknown,partially_vaccinated,0,0,83,0,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202113,unknown,not_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202113,unknown,unknown,0,1,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202114,female,fully_vaccinated,6,29,393121,1.53,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202114,female,partially_vaccinated,8,37,232552,3.44,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202114,female,not_vaccinated,90,697,3761715,2.39,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202114,female,unknown,107,1159,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202114,male,fully_vaccinated,9,42,300705,2.99,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202114,male,partially_vaccinated,7,49,197339,3.55,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202114,male,not_vaccinated,124,902,3823923,3.24,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202114,male,unknown,160,1385,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-12-03_07-52-50,TRUE
